canonical_skill,category,total_mentions,record_count,raw_variants,source_scopes
Kafka,Databases / Storage / Streaming,574,574,Kafka,resume
Redis,Databases / Storage / Streaming,484,484,Redis,resume
MySQL,Databases / Storage / Streaming,401,401,MySQL,resume
S3,Databases / Storage / Streaming,370,370,S3,resume
MongoDB,Databases / Storage / Streaming,78,78,MongoDB,resume
NoSQL,Databases / Storage / Streaming,65,65,NoSQL,resume
Cassandra,Databases / Storage / Streaming,24,24,Cassandra,resume
Flink,Databases / Storage / Streaming,9,6,"Apache Flink, Flink",resume
Elasticsearch,Databases / Storage / Streaming,5,5,Elasticsearch,resume
DynamoDB,Databases / Storage / Streaming,3,3,"DynamoDB, Dynamodb",resume
Redshift,Databases / Storage / Streaming,3,3,Redshift,resume
Azure Blob Storage,Databases / Storage / Streaming,1,1,Azure Blob Storage,resume
DB2,Databases / Storage / Streaming,1,1,Db2,resume
SSMS,Databases / Storage / Streaming,1,1,Ssms,resume
Algorithms,Architecture / Systems,130,130,Algorithms,resume
Data Structures,Architecture / Systems,124,124,Data Structures,resume
Distributed Systems,Architecture / Systems,79,79,Distributed Systems,resume
System Design,Architecture / Systems,41,41,System Design,resume
Embedded Systems,Architecture / Systems,25,25,"Embedded, Embedded Systems",resume
Networking,Architecture / Systems,11,11,Networking,resume
Network Protocol,Architecture / Systems,3,3,Network Protocol,resume
Large-Scale Systems,Architecture / Systems,1,1,Large-Scale Systems,resume
Git,Quality & Workflow,160,160,Git,resume
Scrum,Quality & Workflow,114,114,Scrum,resume
Unit Testing,Quality & Workflow,48,48,Unit Testing,resume
Jira,Quality & Workflow,34,34,Jira,resume
TDD,Quality & Workflow,34,34,TDD,resume
Agile,Quality & Workflow,27,27,Agile,resume
pytest,Quality & Workflow,19,19,"Pytest, pytest",resume
JUnit,Quality & Workflow,18,18,"JUnit, Junit",resume
Code Review,Quality & Workflow,13,13,Code Review,resume
Playwright,Quality & Workflow,12,12,Playwright,resume
Software Test Engineering,Quality & Workflow,8,8,Software Test Engineering,resume
Selenium,Quality & Workflow,5,5,"Selenium, Selenium Webdriver",resume
Design Review,Quality & Workflow,4,4,Design Review,resume
Cypress,Quality & Workflow,2,2,Cypress,resume
Jest,Quality & Workflow,2,2,Jest,resume
Visual Studio,Quality & Workflow,1,1,Visual Studio,resume
