canonical_skill,category,total_mentions,record_count,raw_variants,source_scopes
LLM,AI / ML,1475,764,"LLM, Large Language Models, Large Language Models (LLMs), Large language models, Large language models (LLMs), large language models, large language models (LLMs)","both, scraped_current"
Generative AI,AI / ML,974,480,"GenAI, Genai, Generative AI","both, scraped_current"
PyTorch,AI / ML,756,475,PyTorch,"both, scraped_current"
Deep Learning,AI / ML,730,353,Deep Learning,"both, scraped_current"
TensorFlow,AI / ML,512,337,TensorFlow,"both, scraped_current"
NLP,AI / ML,609,305,"NLP, Natural Language Processing, Natural language processing, natural language processing","both, scraped_current"
RAG,AI / ML,472,291,RAG,"both, scraped_current"
Prompt Engineering,AI / ML,382,253,Prompt Engineering,"both, scraped_current"
MLOps,AI / ML,286,187,MLOps,"both, scraped_current"
OpenAI,AI / ML,257,186,OpenAI,"both, scraped_current"
LangChain,AI / ML,259,175,"LangChain, Langchain","both, scraped_current"
scikit-learn,AI / ML,228,151,scikit-learn,"both, scraped_current"
Computer Vision,AI / ML,227,112,Computer Vision,"both, scraped_current"
Model Deployment,AI / ML,120,85,Model Deployment,"both, scraped_current"
Embeddings,AI / ML,100,70,"Embeddings, Vector Embeddings, vector embeddings","both, scraped_current"
ML Infrastructure,AI / ML,96,61,ML Infrastructure,"both, scraped_current"
Azure OpenAI,AI / ML,49,39,Azure OpenAI,"both, scraped_current"
Keras,AI / ML,42,30,Keras,"both, scraped_current"
Context Engineering,AI / ML,48,28,Context Engineering,"both, scraped_current"
AWS Bedrock,AI / ML,39,25,AWS Bedrock,"both, scraped_current"
OpenAI API,AI / ML,12,9,OpenAI API,"both, scraped_current"
LLM Application Development,AI / ML,9,8,LLM Application Development,"both, scraped_current"
Retrieval Evaluation,AI / ML,1,1,Retrieval Evaluation,scraped_current
AWS,Cloud / DevOps / Infrastructure,2166,1284,AWS,"both, scraped_current"
CI/CD,Cloud / DevOps / Infrastructure,1361,861,CI/CD,"both, scraped_current"
Azure,Cloud / DevOps / Infrastructure,1278,803,Azure,"both, scraped_current"
Kubernetes,Cloud / DevOps / Infrastructure,994,624,"K8S, K8s, Kubernetes","both, scraped_current"
GCP,Cloud / DevOps / Infrastructure,852,578,"GCP, Google Cloud","both, scraped_current"
Docker,Cloud / DevOps / Infrastructure,758,535,Docker,"both, scraped_current"
Linux,Cloud / DevOps / Infrastructure,571,354,Linux,"both, scraped_current"
Terraform,Cloud / DevOps / Infrastructure,399,240,Terraform,"both, scraped_current"
Jenkins,Cloud / DevOps / Infrastructure,265,191,Jenkins,"both, scraped_current"
GitHub Actions,Cloud / DevOps / Infrastructure,168,118,GitHub Actions,"both, scraped_current"
Bash,Cloud / DevOps / Infrastructure,117,80,Bash,"both, scraped_current"
Prometheus,Cloud / DevOps / Infrastructure,105,80,Prometheus,"both, scraped_current"
Shell,Cloud / DevOps / Infrastructure,90,58,Shell,"both, scraped_current"
Ansible,Cloud / DevOps / Infrastructure,80,57,Ansible,"both, scraped_current"
ECS,Cloud / DevOps / Infrastructure,71,56,ECS,"both, scraped_current"
GitLab CI,Cloud / DevOps / Infrastructure,53,39,GitLab CI,"both, scraped_current"
NoSQL,Databases / Storage / Streaming,425,292,"NoSQL, NoSQL Databases, NoSQL databases","both, scraped_current"
Relational Databases,Databases / Storage / Streaming,428,282,"Relational Databases, Relational databases, relational databases","both, scraped_current"
Kafka,Databases / Storage / Streaming,394,273,Kafka,"both, scraped_current"
PostgreSQL,Databases / Storage / Streaming,329,213,PostgreSQL,"both, scraped_current"
