raw_skill,canonical_skill,total_mentions,resume_count,source_labels,categories
Playwright,Playwright,12,12,"APIs, Programming",Quality & Workflow
Ruby,Ruby,12,12,Programming,Programming Languages
Rust,Rust,12,12,Programming,Programming Languages
Networking,Networking,11,11,"APIs, Programming",Architecture / Systems
GraphQL,GraphQL,10,10,Programming,Backend & APIs
Kotlin,Kotlin,10,10,Programming,Programming Languages
Prompt Engineering,Prompt Engineering,9,9,Programming,AI / ML
Computer Vision,Computer Vision,8,8,"APIs, Programming",AI / ML
FastAPI,FastAPI,8,8,Programming,Backend & APIs
Software Test Engineering,Software Test Engineering,8,8,"APIs, Programming",Quality & Workflow
Flink,Flink,6,6,"APIs, Programming",Databases / Storage / Streaming
Elasticsearch,Elasticsearch,5,5,"APIs, Programming",Databases / Storage / Streaming
Swift,Swift,5,5,Programming,Programming Languages
Design Review,Design Review,4,4,Programming,Quality & Workflow
Django,Django,4,4,Programming,Backend & APIs
Gitlab Ci,GitLab CI,4,4,"APIs, Programming",Cloud / DevOps / Infrastructure
Html5,HTML5,4,4,Programming,Frontend & UI
Keras,Keras,4,4,"APIs, Programming",AI / ML
OpenAI,OpenAI,4,4,"AI/ML, Data",AI / ML
Selenium,Selenium,4,4,APIs,Quality & Workflow
Vite,Vite,4,4,Programming,Frontend & UI
Apache Flink,Flink,3,3,APIs,Databases / Storage / Streaming
CSS,CSS,3,3,Programming,Frontend & UI
Css3,CSS3,3,3,Programming,Frontend & UI
GitLab CI,GitLab CI,3,3,"APIs, Programming",Cloud / DevOps / Infrastructure
Network Protocol,Network Protocol,3,3,"APIs, Programming",Architecture / Systems
Next.js,Next.js,3,3,Programming,Frontend & UI
Redshift,Redshift,3,3,Programming,Databases / Storage / Streaming
Restful Apis,REST APIs,3,3,Programming,Backend & APIs
Ansible,Ansible,2,2,"APIs, Programming",Cloud / DevOps / Infrastructure
Context Engineering,Context Engineering,2,2,Programming,AI / ML
Cypress,Cypress,2,2,"APIs, Programming",Quality & Workflow
Dynamodb,DynamoDB,2,2,Programming,Databases / Storage / Streaming
JUnit,JUnit,2,2,Programming,Quality & Workflow
Jest,Jest,2,2,APIs,Quality & Workflow
Matlab,MATLAB,2,2,Data,Programming Languages
NestJS,NestJS,2,2,Programming,Backend & APIs
REST APIs,REST APIs,2,2,Programming,Backend & APIs
ASP.NET MVC,ASP.NET MVC,1,1,Programming,Backend & APIs
Android Sdk,Android SDK,1,1,Programming,Frontend & UI
Apache Airflow,Airflow,1,1,APIs,Data & Analytics
Azure Blob Storage,Azure Blob Storage,1,1,APIs,Databases / Storage / Streaming
Azure OpenAI,Azure OpenAI,1,1,APIs,AI / ML
C#/.Net,.NET / C#,1,1,APIs,Backend & APIs
Dashboard Automation,Dashboard Automation,1,1,Data,Data & Analytics
Db2,DB2,1,1,Programming,Databases / Storage / Streaming
DynamoDB,DynamoDB,1,1,APIs,Databases / Storage / Streaming
Embedded Systems,Embedded Systems,1,1,Programming,Architecture / Systems
Embeddings,Embeddings,1,1,Programming,AI / ML
Experiment Design,Experiment Design,1,1,Data,Data & Analytics
Forecasting,Forecasting,1,1,Data,Data & Analytics
Genai,Generative AI,1,1,Programming,AI / ML
HTML5,HTML5,1,1,Programming,Frontend & UI
Java 17,Java,1,1,Programming,Programming Languages
Jetpack Compose,Jetpack Compose,1,1,Programming,Frontend & UI
K8S,Kubernetes,1,1,Programming,Cloud / DevOps / Infrastructure
KPI Measurement,KPI Measurement,1,1,Data,Data & Analytics
LLM Application Development,LLM Application Development,1,1,Programming,AI / ML
Langchain,LangChain,1,1,Programming,AI / ML
Large-Scale Systems,Large-Scale Systems,1,1,Programming,Architecture / Systems
Looker,Looker,1,1,Data,Data & Analytics
Material Design,Material Design,1,1,Programming,Frontend & UI
Mlops,MLOps,1,1,Programming,AI / ML
OpenAI API,OpenAI API,1,1,Programming,AI / ML
Openai Api,OpenAI API,1,1,Programming,AI / ML
RESTful APIs,REST APIs,1,1,Programming,Backend & APIs
React 16+,React,1,1,Programming,Frontend & UI
Retrieval Evaluation,Retrieval Evaluation,1,1,Programming,AI / ML
Selenium Webdriver,Selenium,1,1,Programming,Quality & Workflow
Ssms,SSMS,1,1,Programming,Databases / Storage / Streaming
Tailwind,Tailwind,1,1,Programming,Frontend & UI
Vb.Net,VB.NET,1,1,Programming,Programming Languages
Vector Embeddings,Embeddings,1,1,Programming,AI / ML
Visual Studio,Visual Studio,1,1,Programming,Quality & Workflow
Webpack,Webpack,1,1,Programming,Frontend & UI
anomaly detection,Anomaly Detection,1,1,Programming,Data & Analytics
pytest,pytest,1,1,APIs,Quality & Workflow
time-series analysis,Time Series Analysis,1,1,Programming,Data & Analytics
