canonical_skill,category,in_resume,in_jd,source_coverage,resume_record_count,jd_record_count
Bash,Cloud / DevOps / Infrastructure,yes,yes,resume+jd,29,80
Prometheus,Cloud / DevOps / Infrastructure,yes,yes,resume+jd,28,80
Ruby,Programming Languages,yes,yes,resume+jd,12,96
Model Deployment,AI / ML,yes,yes,resume+jd,18,85
Jupyter,Data & Analytics,yes,yes,resume+jd,73,28
Forecasting,Data & Analytics,yes,yes,resume+jd,1,99
BigQuery,Data & Analytics,yes,yes,resume+jd,21,78
Hadoop,Data & Analytics,yes,yes,resume+jd,13,84
Kotlin,Programming Languages,yes,yes,resume+jd,10,87
Web Development,Backend & APIs,no,yes,jd_only,0,96
Vue,Frontend & UI,yes,yes,resume+jd,17,78
DynamoDB,Databases / Storage / Streaming,yes,yes,resume+jd,3,87
Next.js,Frontend & UI,yes,yes,resume+jd,3,86
FastAPI,Backend & APIs,yes,yes,resume+jd,8,80
ECS,Cloud / DevOps / Infrastructure,yes,yes,resume+jd,27,56
Looker,Data & Analytics,yes,yes,resume+jd,1,82
TDD,Quality & Workflow,yes,yes,resume+jd,34,49
Full-Stack Development,Backend & APIs,no,yes,jd_only,0,77
Django,Backend & APIs,yes,yes,resume+jd,4,72
ML Infrastructure,AI / ML,yes,yes,resume+jd,13,61
Redshift,Databases / Storage / Streaming,yes,yes,resume+jd,3,70
Embeddings,AI / ML,yes,yes,resume+jd,2,70
HTML5,Frontend & UI,yes,yes,resume+jd,5,64
Cassandra,Databases / Storage / Streaming,yes,yes,resume+jd,24,41
Matplotlib,Data & Analytics,yes,yes,resume+jd,35,30
Swift,Programming Languages,yes,yes,resume+jd,5,60
ASP.NET,Backend & APIs,yes,yes,resume+jd,23,38
Ansible,Cloud / DevOps / Infrastructure,yes,yes,resume+jd,2,57
PHP,Programming Languages,yes,yes,resume+jd,12,47
Software Testing,Quality & Workflow,no,yes,jd_only,0,58
JUnit,Quality & Workflow,yes,yes,resume+jd,18,39
Anomaly Detection,Data & Analytics,yes,yes,resume+jd,1,54
Elasticsearch,Databases / Storage / Streaming,yes,yes,resume+jd,5,48
Flink,Databases / Storage / Streaming,yes,yes,resume+jd,6,47
Playwright,Quality & Workflow,yes,yes,resume+jd,12,41
Rails,Backend & APIs,yes,yes,resume+jd,16,36
Express,Backend & APIs,yes,yes,resume+jd,28,20
GitLab CI,Cloud / DevOps / Infrastructure,yes,yes,resume+jd,7,39
