canonical_skill,category,total_mentions,resume_count,raw_variants
Ansible,Cloud / DevOps / Infrastructure,2,2,Ansible
PostgreSQL,Databases / Storage / Streaming,584,584,PostgreSQL
Kafka,Databases / Storage / Streaming,574,574,Kafka
Redis,Databases / Storage / Streaming,484,484,Redis
MySQL,Databases / Storage / Streaming,401,401,MySQL
S3,Databases / Storage / Streaming,370,370,S3
MongoDB,Databases / Storage / Streaming,78,78,MongoDB
NoSQL,Databases / Storage / Streaming,65,65,NoSQL
Cassandra,Databases / Storage / Streaming,24,24,Cassandra
Flink,Databases / Storage / Streaming,9,6,"Apache Flink, Flink"
Elasticsearch,Databases / Storage / Streaming,5,5,Elasticsearch
DynamoDB,Databases / Storage / Streaming,3,3,"DynamoDB, Dynamodb"
Redshift,Databases / Storage / Streaming,3,3,Redshift
Azure Blob Storage,Databases / Storage / Streaming,1,1,Azure Blob Storage
DB2,Databases / Storage / Streaming,1,1,Db2
SSMS,Databases / Storage / Streaming,1,1,Ssms
Algorithms,Architecture / Systems,130,130,Algorithms
Data Structures,Architecture / Systems,124,124,Data Structures
Distributed Systems,Architecture / Systems,79,79,Distributed Systems
System Design,Architecture / Systems,41,41,System Design
Embedded Systems,Architecture / Systems,25,25,"Embedded, Embedded Systems"
Networking,Architecture / Systems,11,11,Networking
Network Protocol,Architecture / Systems,3,3,Network Protocol
Large-Scale Systems,Architecture / Systems,1,1,Large-Scale Systems
Git,Quality & Workflow,160,160,Git
Scrum,Quality & Workflow,114,114,Scrum
Unit Testing,Quality & Workflow,48,48,Unit Testing
Jira,Quality & Workflow,34,34,Jira
TDD,Quality & Workflow,34,34,TDD
Agile,Quality & Workflow,27,27,Agile
pytest,Quality & Workflow,19,19,"Pytest, pytest"
JUnit,Quality & Workflow,18,18,"JUnit, Junit"
Code Review,Quality & Workflow,13,13,Code Review
Playwright,Quality & Workflow,12,12,Playwright
Software Test Engineering,Quality & Workflow,8,8,Software Test Engineering
Selenium,Quality & Workflow,5,5,"Selenium, Selenium Webdriver"
Design Review,Quality & Workflow,4,4,Design Review
Cypress,Quality & Workflow,2,2,Cypress
Jest,Quality & Workflow,2,2,Jest
Visual Studio,Quality & Workflow,1,1,Visual Studio
