canonical_skill,category,total_mentions,resume_record_count,jd_record_count,source_coverage,raw_variants
Prompt Engineering,AI / ML,391,9,253,resume+jd,Prompt Engineering
OpenAI,AI / ML,261,4,186,resume+jd,OpenAI
MLOps,AI / ML,287,1,187,resume+jd,"MLOps, Mlops"
LangChain,AI / ML,260,1,175,resume+jd,"LangChain, Langchain"
Computer Vision,AI / ML,235,8,112,resume+jd,Computer Vision
Model Deployment,AI / ML,138,18,85,resume+jd,Model Deployment
ML Infrastructure,AI / ML,109,13,61,resume+jd,ML Infrastructure
Embeddings,AI / ML,102,2,70,resume+jd,"Embeddings, Vector Embeddings, vector embeddings"
Azure OpenAI,AI / ML,50,1,39,resume+jd,Azure OpenAI
Keras,AI / ML,46,4,30,resume+jd,Keras
Context Engineering,AI / ML,50,2,28,resume+jd,Context Engineering
OpenAI API,AI / ML,14,2,9,resume+jd,"OpenAI API, Openai Api"
LLM Application Development,AI / ML,10,1,8,resume+jd,LLM Application Development
Retrieval Evaluation,AI / ML,2,1,1,resume+jd,Retrieval Evaluation
AWS,Cloud / DevOps / Infrastructure,2663,497,1284,resume+jd,AWS
Kubernetes,Cloud / DevOps / Infrastructure,1591,596,624,resume+jd,"K8S, K8s, Kubernetes"
CI/CD,Cloud / DevOps / Infrastructure,1704,343,861,resume+jd,CI/CD
Docker,Cloud / DevOps / Infrastructure,1364,606,535,resume+jd,Docker
Azure,Cloud / DevOps / Infrastructure,1402,124,803,resume+jd,Azure
GCP,Cloud / DevOps / Infrastructure,943,91,578,resume+jd,"GCP, Google Cloud"
GitHub Actions,Cloud / DevOps / Infrastructure,501,333,118,resume+jd,GitHub Actions
Linux,Cloud / DevOps / Infrastructure,666,95,354,resume+jd,Linux
Terraform,Cloud / DevOps / Infrastructure,439,40,240,resume+jd,Terraform
Jenkins,Cloud / DevOps / Infrastructure,325,60,191,resume+jd,Jenkins
Shell,Cloud / DevOps / Infrastructure,168,78,58,resume+jd,Shell
Bash,Cloud / DevOps / Infrastructure,146,29,80,resume+jd,Bash
Prometheus,Cloud / DevOps / Infrastructure,133,28,80,resume+jd,Prometheus
ECS,Cloud / DevOps / Infrastructure,98,27,56,resume+jd,ECS
