skill_id	skill_name	domain	subdomain	R01	R02	R03	R04	R05	R06	R07	R08	R09	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22
hard.security.cryptography.mpc	MPC	Security	Cryptography	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.security.cryptography.ecdsa-eddsa	ECDSA/EdDSA	Security	Cryptography	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hard.security.cryptography.kms	KMS	Security	Cryptography	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hard.security.cryptography.merkle-proofs	Merkle Proofs	Security	Cryptography	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hard.security.cryptography.mtls	mTLS	Security	Cryptography	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0
hard.security.compliance-governance.kyc-aml	KYC/AML	Security	Compliance & Governance	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0
hard.security.compliance-governance.sox	SOX	Security	Compliance & Governance	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
hard.security.compliance-governance.pipl	PIPL	Security	Compliance & Governance	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hard.security.compliance-governance.ofac	OFAC	Security	Compliance & Governance	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hard.security.compliance-governance.cnbv	CNBV	Security	Compliance & Governance	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hard.security.compliance-governance.dlp	DLP	Security	Compliance & Governance	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.security.compliance-governance.content-provenance	Content Provenance	Security	Compliance & Governance	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.embedded-systems.embedded-engineering.embedded-systems	Embedded Systems	Embedded & Systems	Embedded Engineering	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.embedded-systems.embedded-engineering.rtos	RTOS	Embedded & Systems	Embedded Engineering	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.embedded-systems.embedded-engineering.firmware	Firmware	Embedded & Systems	Embedded Engineering	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hard.embedded-systems.embedded-engineering.device-drivers	Device Drivers	Embedded & Systems	Embedded Engineering	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.embedded-systems.embedded-engineering.sensors	Sensors	Embedded & Systems	Embedded Engineering	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.embedded-systems.embedded-engineering.geolocation	Geolocation	Embedded & Systems	Embedded Engineering	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.embedded-systems.embedded-engineering.arm64	ARM64	Embedded & Systems	Embedded Engineering	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	1	0	0	0
hard.embedded-systems.embedded-engineering.x86	x86	Embedded & Systems	Embedded Engineering	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0
hard.embedded-systems.embedded-engineering.android-os	Android OS	Embedded & Systems	Embedded Engineering	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hard.embedded-systems.embedded-engineering.embedded-linux	Embedded Linux	Embedded & Systems	Embedded Engineering	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hard.embedded-systems.embedded-engineering.adb	ADB	Embedded & Systems	Embedded Engineering	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hard.embedded-systems.embedded-engineering.eda	EDA	Embedded & Systems	Embedded Engineering	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hard.embedded-systems.embedded-engineering.driver-development	Driver Development	Embedded & Systems	Embedded Engineering	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hard.embedded-systems.systems-programming.kernel	Kernel	Embedded & Systems	Systems Programming	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0
hard.embedded-systems.systems-programming.virtualization	Virtualization	Embedded & Systems	Systems Programming	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
hard.embedded-systems.systems-programming.compilers	Compilers	Embedded & Systems	Systems Programming	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
hard.embedded-systems.systems-programming.p4-sdn	P4/SDN	Embedded & Systems	Systems Programming	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.embedded-systems.systems-programming.distributed-systems	Distributed Systems	Embedded & Systems	Systems Programming	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.embedded-systems.systems-programming.concurrency	Concurrency	Embedded & Systems	Systems Programming	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
hard.embedded-systems.systems-programming.llvm	LLVM	Embedded & Systems	Systems Programming	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
hard.embedded-systems.systems-programming.loop-tiling	Loop Tiling	Embedded & Systems	Systems Programming	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hard.embedded-systems.systems-programming.vectorization	Vectorization	Embedded & Systems	Systems Programming	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hard.embedded-systems.systems-programming.dsl-transpiler-design	DSL/Transpiler Design	Embedded & Systems	Systems Programming	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.embedded-systems.systems-programming.cmake	CMake	Embedded & Systems	Systems Programming	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
hard.embedded-systems.signal-processing.sensor-fusion	Sensor Fusion	Embedded & Systems	Signal Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hard.embedded-systems.signal-processing.kalman-filter	Kalman Filter	Embedded & Systems	Signal Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hard.embedded-systems.signal-processing.dsp	DSP	Embedded & Systems	Signal Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
hard.embedded-systems.signal-processing.imu	IMU	Embedded & Systems	Signal Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hard.embedded-systems.signal-processing.opencv	OpenCV	Embedded & Systems	Signal Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
hard.embedded-systems.signal-processing.image-processing	Image Processing	Embedded & Systems	Signal Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hard.embedded-systems.signal-processing.video-processing	Video Processing	Embedded & Systems	Signal Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hard.embedded-systems.hpc-parallel-computing.mpi	MPI	Embedded & Systems	HPC & Parallel Computing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
hard.embedded-systems.hpc-parallel-computing.openmp	OpenMP	Embedded & Systems	HPC & Parallel Computing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
hard.embedded-systems.hpc-parallel-computing.slurm	Slurm	Embedded & Systems	HPC & Parallel Computing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hard.embedded-systems.hpc-parallel-computing.cuda-kernel-optimization	CUDA Kernel Optimization	Embedded & Systems	HPC & Parallel Computing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.embedded-systems.hpc-parallel-computing.roofline-analysis	Roofline Analysis	Embedded & Systems	HPC & Parallel Computing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hard.embedded-systems.hpc-parallel-computing.neon-simd	NEON SIMD	Embedded & Systems	HPC & Parallel Computing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hard.platform-mobile.mobile-platforms.ios	iOS	Platform & Mobile	Mobile Platforms	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
hard.platform-mobile.mobile-platforms.android	Android	Platform & Mobile	Mobile Platforms	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	7
hard.platform-mobile.mobile-platforms.mobile-development	Mobile Development	Platform & Mobile	Mobile Platforms	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.platform-mobile.mobile-platforms.unity-engine	Unity Engine	Platform & Mobile	Mobile Platforms	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
hard.platform-mobile.specialized-domains.robotics	Robotics	Platform & Mobile	Specialized Domains	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.platform-mobile.specialized-domains.autonomous-vehicles	Autonomous Vehicles	Platform & Mobile	Specialized Domains	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.platform-mobile.specialized-domains.blockchain-crypto	Blockchain/Crypto	Platform & Mobile	Specialized Domains	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hard.platform-mobile.specialized-domains.gpu-programming	GPU Programming	Platform & Mobile	Specialized Domains	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.platform-mobile.specialized-domains.stablecoin	Stablecoin	Platform & Mobile	Specialized Domains	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hard.platform-mobile.specialized-domains.erc-20	ERC-20	Platform & Mobile	Specialized Domains	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hard.platform-mobile.specialized-domains.solidity	Solidity	Platform & Mobile	Specialized Domains	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hard.platform-mobile.specialized-domains.proof-of-reserve	Proof-of-Reserve	Platform & Mobile	Specialized Domains	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hard.platform-mobile.specialized-domains.wallet-infrastructure	Wallet Infrastructure	Platform & Mobile	Specialized Domains	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
hard.platform-mobile.specialized-domains.smart-contracts	Smart Contracts	Platform & Mobile	Specialized Domains	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.platform-mobile.enterprise-revops.salesforce	Salesforce	Platform & Mobile	Enterprise & RevOps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
hard.platform-mobile.enterprise-revops.zuora	Zuora	Platform & Mobile	Enterprise & RevOps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
hard.platform-mobile.enterprise-revops.netsuite	NetSuite	Platform & Mobile	Enterprise & RevOps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
hard.platform-mobile.enterprise-revops.mulesoft	Mulesoft	Platform & Mobile	Enterprise & RevOps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
hard.platform-mobile.enterprise-revops.revpro	RevPro	Platform & Mobile	Enterprise & RevOps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
hard.testing-quality.testing.unit-testing	Unit Testing	Testing & Quality	Testing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.testing-quality.testing.integration-testing	Integration Testing	Testing & Quality	Testing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.testing-quality.testing.test-automation	Test Automation	Testing & Quality	Testing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.testing-quality.testing.selenium	Selenium	Testing & Quality	Testing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hard.testing-quality.testing.google-test	Google Test	Testing & Quality	Testing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
hard.testing-quality.testing.pytest	Pytest	Testing & Quality	Testing	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0
hard.testing-quality.testing.appium	Appium	Testing & Quality	Testing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hard.testing-quality.testing.xcuitest	XCUITest	Testing & Quality	Testing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hard.testing-quality.testing.espresso	Espresso	Testing & Quality	Testing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hard.testing-quality.testing.regression-testing	Regression Testing	Testing & Quality	Testing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0
hard.testing-quality.testing.performance-profiling	Performance Profiling	Testing & Quality	Testing	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	2	1	0	3	0
hard.testing-quality.testing.simulation-harnesses	Simulation Harnesses	Testing & Quality	Testing	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	4	1	0	0	0	0
hard.testing-quality.testing.test-planning	Test Planning	Testing & Quality	Testing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hard.testing-quality.testing.functional-testing	Functional Testing	Testing & Quality	Testing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hard.testing-quality.testing.build-automation	Build Automation	Testing & Quality	Testing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
soft.communication-collaboration.communication-skills	Communication Skills	Communication & Collaboration		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.communication-collaboration.cross-functional-collaboration	Cross-functional Collaboration	Communication & Collaboration		1	1	1	0	1	1	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0
soft.communication-collaboration.teamwork	Teamwork	Communication & Collaboration		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.communication-collaboration.stakeholder-management	Stakeholder Management	Communication & Collaboration		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.communication-collaboration.technical-writing	Technical Writing	Communication & Collaboration		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.communication-collaboration.presentation-skills	Presentation Skills	Communication & Collaboration		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.communication-collaboration.technical-consulting	Technical Consulting	Communication & Collaboration		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
soft.leadership-ownership.leadership	Leadership	Leadership & Ownership		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.leadership-ownership.ownership	Ownership	Leadership & Ownership		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.leadership-ownership.initiative	Initiative	Leadership & Ownership		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.leadership-ownership.decision-making	Decision Making	Leadership & Ownership		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.leadership-ownership.influence	Influence	Leadership & Ownership		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.leadership-ownership.mentoring	Mentoring	Leadership & Ownership		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.work-methodology-execution.agile-scrum	Agile/Scrum	Work Methodology & Execution		0	2	0	0	0	1	2	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0
soft.work-methodology-execution.problem-solving	Problem Solving	Work Methodology & Execution		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.work-methodology-execution.attention-to-detail	Attention to Detail	Work Methodology & Execution		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.work-methodology-execution.time-management	Time Management	Work Methodology & Execution		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.work-methodology-execution.adaptability	Adaptability	Work Methodology & Execution		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.work-methodology-execution.continuous-learning	Continuous Learning	Work Methodology & Execution		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.work-methodology-execution.sdlc	SDLC	Work Methodology & Execution		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0
soft.work-methodology-execution.code-review	Code Review	Work Methodology & Execution		0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
soft.work-methodology-execution.design-review	Design Review	Work Methodology & Execution		0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
soft.technical-excellence.scale-performance	Scale & Performance	Technical Excellence		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.technical-excellence.system-design	System Design	Technical Excellence		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.technical-excellence.code-quality	Code Quality	Technical Excellence		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.technical-excellence.production-systems	Production Systems	Technical Excellence		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.technical-excellence.distributed-systems-design	Distributed Systems Design	Technical Excellence		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.technical-excellence.concurrency-safety	Concurrency Safety	Technical Excellence		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.product-user-orientation.user-centric	User-Centric	Product & User Orientation		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.product-user-orientation.data-driven	Data-Driven	Product & User Orientation		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.product-user-orientation.innovation	Innovation	Product & User Orientation		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.product-user-orientation.autonomy	Autonomy	Product & User Orientation		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.industry-domain.fintech	Fintech	Industry Domain		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.industry-domain.e-commerce	E-Commerce	Industry Domain		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.industry-domain.ad-tech	Ad Tech	Industry Domain		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.industry-domain.enterprise-saas	Enterprise SaaS	Industry Domain		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.industry-domain.healthcare-biotech	Healthcare/Biotech	Industry Domain		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.industry-domain.defense-aerospace	Defense/Aerospace	Industry Domain		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.industry-domain.media-entertainment	Media/Entertainment	Industry Domain		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.industry-domain.security-domain	Security Domain	Industry Domain		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.industry-domain.weiqi	Weiqi	Industry Domain		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.industry-domain.blockchain-web3	Blockchain/Web3	Industry Domain		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.industry-domain.food-delivery-logistics	Food Delivery/Logistics	Industry Domain		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soft.industry-domain.cross-border-operations	Cross-Border Operations	Industry Domain		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
